index	Tokenized Problem Sentence	Tokenized Fixed Sentence	Problem Sentence	Fixed Sentence
20.0	schizophrenia can cause significant challenges for families and care ##gi ##vers .	schizophrenia can cause significant challenges for families and care ##gi ##vers .	Schizophrenia can cause significant challenges for families and caregivers.	Schizophrenia can cause significant challenges for families and caregivers.
21.0	the course of schizophrenia can vary from person to person , and may be unpredictable .	the course of schizophrenia can vary from person to person , and may be unpredictable .	The course of schizophrenia can vary from person to person, and may be unpredictable.	The course of schizophrenia can vary from person to person, and may be unpredictable.
22.0	with appropriate treatment and support , many people with schizophrenia can lead fulfilling lives .	with appropriate treatment and support , many people with schizophrenia can lead fulfilling lives .	With appropriate treatment and support, many people with schizophrenia can lead fulfilling lives.	With appropriate treatment and support, many people with schizophrenia can lead fulfilling lives.
23.0	early detection and diagnosis of schizophrenia are important for successful management .	early detection and diagnosis of schizophrenia are important for successful management .	Early detection and diagnosis of schizophrenia are important for successful management.	Early detection and diagnosis of schizophrenia are important for successful management.
24.0	support groups and peer networks can be helpful for individuals with schizophrenia .	support groups and peer networks can be helpful for individuals with schizophrenia .	Support groups and peer networks can be helpful for individuals with schizophrenia.	Support groups and peer networks can be helpful for individuals with schizophrenia.
25.0	schizophrenia can be associated with symptoms such as paranoia and unusual beliefs .	schizophrenia can be associated with symptoms such as paranoia and unusual beliefs .	Schizophrenia can be associated with symptoms such as paranoia and unusual beliefs.	Schizophrenia can be associated with symptoms such as paranoia and unusual beliefs.
26.0	schizophrenia can cause significant changes in personality and behavior .	schizophrenia can cause significant changes in personality and behavior .	Schizophrenia can cause significant changes in personality and behavior.	Schizophrenia can cause significant changes in personality and behavior.
27.0	the social stigma surrounding schizophrenia can make it difficult for individuals to seek help .	the social stigma surrounding schizophrenia can make it difficult for individuals to seek help .	The social stigma surrounding schizophrenia can make it difficult for individuals to seek help.	The social stigma surrounding schizophrenia can make it difficult for individuals to seek help.
28.0	the causes of schizophrenia are still not fully understood .	the causes of schizophrenia are still not fully understood .	The causes of schizophrenia are still not fully understood.	The causes of schizophrenia are still not fully understood.
29.0	family and social support can be critical for individuals with schizophrenia .	family and social support can be critical for individuals with schizophrenia .	Family and social support can be critical for individuals with schizophrenia.	Family and social support can be critical for individuals with schizophrenia.
30.0	cognitive the ##ra ##pies and other interventions may be beneficial for managing schizophrenia .	cognitive the ##ra ##pies and other interventions may be beneficial for managing schizophrenia .	Cognitive therapies and other interventions may be beneficial for managing schizophrenia.	Cognitive therapies and other interventions may be beneficial for managing schizophrenia.
31.0	the effects of schizophrenia can range from mild to severe , depending on the individual .	the effects of schizophrenia can range from mild to severe , depending on the individual .	The effects of schizophrenia can range from mild to severe, depending on the individual.	The effects of schizophrenia can range from mild to severe, depending on the individual.
32.0	research continues to uncover new insights about the biology and causes of schizophrenia .	research continues to uncover new insights about the biology and causes of schizophrenia .	Research continues to uncover new insights about the biology and causes of schizophrenia.	Research continues to uncover new insights about the biology and causes of schizophrenia.
33.0	for many people with schizophrenia , a combination of medication and therapy can be effective .	for many people with schizophrenia , a combination of medication and therapy can be effective .	For many people with schizophrenia, a combination of medication and therapy can be effective.	For many people with schizophrenia, a combination of medication and therapy can be effective.
34.0	people with schizophrenia may experience symptoms such as di ##sor ##gan ##ized speech or behavior .	people with schizophrenia may experience symptoms such as di ##sor ##gan ##ized speech or behavior .	People with schizophrenia may experience symptoms such as disorganized speech or behavior.	People with schizophrenia may experience symptoms such as disorganized speech or behavior.
35.0	schizophrenia can impact different aspects of daily life , from work to relationships .	schizophrenia can impact different aspects of daily life , from work to relationships .	Schizophrenia can impact different aspects of daily life, from work to relationships.	Schizophrenia can impact different aspects of daily life, from work to relationships.
36.0	individuals with schizophrenia may benefit from vocational rehabilitation and job placement services .	individuals with schizophrenia may benefit from vocational rehabilitation and job placement services .	Individuals with schizophrenia may benefit from vocational rehabilitation and job placement services.	Individuals with schizophrenia may benefit from vocational rehabilitation and job placement services.
37.0	schizophrenia can cause significant stress and emotional turmoil for those affected .	schizophrenia can cause significant stress and emotional turmoil for those affected .	Schizophrenia can cause significant stress and emotional turmoil for those affected.	Schizophrenia can cause significant stress and emotional turmoil for those affected.
38.0	lifestyle changes and stress - management techniques can be helpful for managing schizophrenia .	lifestyle changes and stress - management techniques can be helpful for managing schizophrenia .	Lifestyle changes and stress-management techniques can be helpful for managing schizophrenia.	Lifestyle changes and stress-management techniques can be helpful for managing schizophrenia.
39.0	support from family and friends is important for those with schizophrenia , but it can also be stress ##ful for loved ones .	support from family and friends is important for those with schizophrenia , but it can also be stress ##ful for loved ones .	Support from family and friends is important for those with schizophrenia, but it can also be stressful for loved ones.	Support from family and friends is important for those with schizophrenia, but it can also be stressful for loved ones.
40.0	a lack of understanding and education about schizophrenia can contribute to social stigma .	a lack of understanding and education about schizophrenia can contribute to social stigma .	A lack of understanding and education about schizophrenia can contribute to social stigma.	A lack of understanding and education about schizophrenia can contribute to social stigma.
41.0	people with schizophrenia may struggle with managing their thoughts and emotions .	people with schizophrenia may struggle with managing their thoughts and emotions .	People with schizophrenia may struggle with managing their thoughts and emotions.	People with schizophrenia may struggle with managing their thoughts and emotions.
42.0	the side effects of anti ##psy ##cho ##tic medication can be challenging for some individuals with schizophrenia .	the side effects of anti ##psy ##cho ##tic medication can be challenging for some individuals with schizophrenia .	The side effects of antipsychotic medication can be challenging for some individuals with schizophrenia.	The side effects of antipsychotic medication can be challenging for some individuals with schizophrenia.
43.0	schizophrenia can affect different aspects of thinking , including perception , attention , and memory .	schizophrenia can affect different aspects of thinking , including perception , attention , and memory .	Schizophrenia can affect different aspects of thinking, including perception, attention, and memory.	Schizophrenia can affect different aspects of thinking, including perception, attention, and memory.
44.0	the prevalence of schizophrenia varies around the world , but it is a significant global health issue .	the prevalence of schizophrenia varies around the world , but it is a significant global health issue .	The prevalence of schizophrenia varies around the world, but it is a significant global health issue.	The prevalence of schizophrenia varies around the world, but it is a significant global health issue.
45.0	a combination of medication , therapy , and support from loved ones can be beneficial for managing schizophrenia . 47	a combination of medication , therapy , and support from loved ones can be beneficial for managing schizophrenia . 47	A combination of medication, therapy, and support from loved ones can be beneficial for managing schizophrenia. 47	A combination of medication, therapy, and support from loved ones can be beneficial for managing schizophrenia. 47
46.0	an ##ore ##xia is a serious eating disorder that affects many individuals .	an ##ore ##xia is a serious eating disorder that affects many individuals .	Anorexia is a serious eating disorder that affects many individuals.	Anorexia is a serious eating disorder that affects many individuals.
47.0	people with an ##ore ##xia often have an intense fear of gaining weight and a distorted body image .	people with an ##ore ##xia often have an intense fear of gaining weight and a distorted body image .	People with anorexia often have an intense fear of gaining weight and a distorted body image.	People with anorexia often have an intense fear of gaining weight and a distorted body image.
48.0	an ##ore ##xia can have severe physical and mental health consequences .	an ##ore ##xia can have severe physical and mental health consequences .	Anorexia can have severe physical and mental health consequences.	Anorexia can have severe physical and mental health consequences.
49.0	people with an ##ore ##xia may limit their cal ##oric intake to an extreme degree .	people with an ##ore ##xia may limit their cal ##oric intake to an extreme degree .	People with anorexia may limit their caloric intake to an extreme degree.	People with anorexia may limit their caloric intake to an extreme degree.
50.0	an ##ore ##xia can cause mal ##nut ##rit ##ion , weight loss , and other physical health problems .	an ##ore ##xia can cause mal ##nut ##rit ##ion , weight loss , and other physical health problems .	Anorexia can cause malnutrition, weight loss, and other physical health problems.	Anorexia can cause malnutrition, weight loss, and other physical health problems.
51.0	an ##ore ##xia can also have a significant impact on mental well - being , leading to anxiety and depression .	an ##ore ##xia can also have a significant impact on mental well - being , leading to anxiety and depression .	Anorexia can also have a significant impact on mental well-being, leading to anxiety and depression.	Anorexia can also have a significant impact on mental well-being, leading to anxiety and depression.
52.0	early intervention and treatment can be critical for managing an ##ore ##xia .	early intervention and treatment can be critical for managing an ##ore ##xia .	Early intervention and treatment can be critical for managing anorexia.	Early intervention and treatment can be critical for managing anorexia.
53.0	a team approach to treatment , including therapy and medical support , can be effective for managing an ##ore ##xia .	a team approach to treatment , including therapy and medical support , can be effective for managing an ##ore ##xia .	A team approach to treatment, including therapy and medical support, can be effective for managing anorexia.	A team approach to treatment, including therapy and medical support, can be effective for managing anorexia.
54.0	family support and education about the disease are important for individuals with an ##ore ##xia .	family support and education about the disease are important for individuals with an ##ore ##xia .	Family support and education about the disease are important for individuals with anorexia.	Family support and education about the disease are important for individuals with anorexia.
55.0	the causes of an ##ore ##xia are not fully understood , but may include a combination of biological , psychological , and environmental factors .	the causes of an ##ore ##xia are not fully understood , but may include a combination of biological , psychological , and environmental factors .	The causes of anorexia are not fully understood, but may include a combination of biological, psychological, and environmental factors.	The causes of anorexia are not fully understood, but may include a combination of biological, psychological, and environmental factors.
56.0	people with an ##ore ##xia may struggle with body image , self - esteem , and other psychological issues .	people with an ##ore ##xia may struggle with body image , self - esteem , and other psychological issues .	People with anorexia may struggle with body image, self-esteem, and other psychological issues.	People with anorexia may struggle with body image, self-esteem, and other psychological issues.
57.0	an ##ore ##xia can have severe consequences for physical health , including muscle wasting and heart problems .	an ##ore ##xia can have severe consequences for physical health , including muscle wasting and heart problems .	Anorexia can have severe consequences for physical health, including muscle wasting and heart problems.	Anorexia can have severe consequences for physical health, including muscle wasting and heart problems.
58.0	individuals with an ##ore ##xia may benefit from nutritional counseling and support from a registered diet ##itia ##n .	individuals with an ##ore ##xia may benefit from nutritional counseling and support from a registered diet ##itia ##n .	Individuals with anorexia may benefit from nutritional counseling and support from a registered dietitian.	Individuals with anorexia may benefit from nutritional counseling and support from a registered dietitian.
59.0	the road to recovery from an ##ore ##xia can be difficult and long , but it is possible with the right support .	the road to recovery from an ##ore ##xia can be difficult and long , but it is possible with the right support .	The road to recovery from anorexia can be difficult and long, but it is possible with the right support.	The road to recovery from anorexia can be difficult and long, but it is possible with the right support.
60.0	people with an ##ore ##xia may feel overwhelmed by societal pressures to conform to certain beauty standards .	people with an ##ore ##xia may feel overwhelmed by societal pressures to conform to certain beauty standards .	People with anorexia may feel overwhelmed by societal pressures to conform to certain beauty standards.	People with anorexia may feel overwhelmed by societal pressures to conform to certain beauty standards.
61.0	treatment for an ##ore ##xia may include therapy , medication , and lifestyle changes .	treatment for an ##ore ##xia may include therapy , medication , and lifestyle changes .	Treatment for anorexia may include therapy, medication, and lifestyle changes.	Treatment for anorexia may include therapy, medication, and lifestyle changes.
62.0	an ##ore ##xia can have a significant impact on relationships , both personal and professional .	an ##ore ##xia can have a significant impact on relationships , both personal and professional .	Anorexia can have a significant impact on relationships, both personal and professional.	Anorexia can have a significant impact on relationships, both personal and professional.
63.0	support from family and friends is important for individuals with an ##ore ##xia , but it can also be difficult for loved ones to understand the disease .	support from family and friends is important for individuals with an ##ore ##xia , but it can also be difficult for loved ones to understand the disease .	Support from family and friends is important for individuals with anorexia, but it can also be difficult for loved ones to understand the disease.	Support from family and friends is important for individuals with anorexia, but it can also be difficult for loved ones to understand the disease.
64.0	cognitive behavioral therapy and other forms of talk therapy can be beneficial for managing an ##ore ##xia .	cognitive behavioral therapy and other forms of talk therapy can be beneficial for managing an ##ore ##xia .	Cognitive behavioral therapy and other forms of talk therapy can be beneficial for managing anorexia.	Cognitive behavioral therapy and other forms of talk therapy can be beneficial for managing anorexia.
65.0	people with an ##ore ##xia may struggle with emotional regulation , impulse control , and other mental health issues .	people with an ##ore ##xia may struggle with emotional regulation , impulse control , and other mental health issues .	People with anorexia may struggle with emotional regulation, impulse control, and other mental health issues.	People with anorexia may struggle with emotional regulation, impulse control, and other mental health issues.
66.0	an ##ore ##xia can have a significant impact on the body , including ho ##rm ##onal im ##balance ##s , os ##te ##op ##oro ##sis , and other medical problems .	an ##ore ##xia can have a significant impact on the body , including ho ##rm ##onal im ##balance ##s , os ##te ##op ##oro ##sis , and other medical problems .	Anorexia can have a significant impact on the body, including hormonal imbalances, osteoporosis, and other medical problems.	Anorexia can have a significant impact on the body, including hormonal imbalances, osteoporosis, and other medical problems.
67.0	recovery from an ##ore ##xia may involve weight restoration , lifestyle changes , and therapy .	recovery from an ##ore ##xia may involve weight restoration , lifestyle changes , and therapy .	Recovery from anorexia may involve weight restoration, lifestyle changes, and therapy.	Recovery from anorexia may involve weight restoration, lifestyle changes, and therapy.
68.0	people with an ##ore ##xia may benefit from support groups , peer networks , and other forms of community support .	people with an ##ore ##xia may benefit from support groups , peer networks , and other forms of community support .	People with anorexia may benefit from support groups, peer networks, and other forms of community support.	People with anorexia may benefit from support groups, peer networks, and other forms of community support.
69.0	an ##ore ##xia can be a chronic illness that requires long - term management and support .	an ##ore ##xia can be a chronic illness that requires long - term management and support .	Anorexia can be a chronic illness that requires long-term management and support.	Anorexia can be a chronic illness that requires long-term management and support.
70.0	individuals with an ##ore ##xia may benefit from exercise and physical activity , but this should be carefully monitored .	individuals with an ##ore ##xia may benefit from exercise and physical activity , but this should be carefully monitored .	Individuals with anorexia may benefit from exercise and physical activity, but this should be carefully monitored.	Individuals with anorexia may benefit from exercise and physical activity, but this should be carefully monitored.
71.0	people with an ##ore ##xia may feel ashamed or embarrassed about their disorder , leading to a reluctance to seek help .	people with an ##ore ##xia may feel ashamed or embarrassed about their disorder , leading to a reluctance to seek help .	People with anorexia may feel ashamed or embarrassed about their disorder, leading to a reluctance to seek help.	People with anorexia may feel ashamed or embarrassed about their disorder, leading to a reluctance to seek help.
72.0	the effects of an ##ore ##xia can vary from person to person , but it is always a serious issue .	the effects of an ##ore ##xia can vary from person to person , but it is always a serious issue .	The effects of anorexia can vary from person to person, but it is always a serious issue.	The effects of anorexia can vary from person to person, but it is always a serious issue.
73.0	the prevalence of an ##ore ##xia is increasing , particularly among young people .	the prevalence of an ##ore ##xia is increasing , particularly among young people .	The prevalence of anorexia is increasing, particularly among young people.	The prevalence of anorexia is increasing, particularly among young people.
74.0	an ##ore ##xia can lead to feelings of isolation , hopeless ##ness , and anxiety .	an ##ore ##xia can lead to feelings of isolation , hopeless ##ness , and anxiety .	Anorexia can lead to feelings of isolation, hopelessness, and anxiety.	Anorexia can lead to feelings of isolation, hopelessness, and anxiety.
75.0	the physical and mental effects of an ##ore ##xia can be long - lasting if the disorder is not treated .	the physical and mental effects of an ##ore ##xia can be long - lasting if the disorder is not treated .	The physical and mental effects of anorexia can be long-lasting if the disorder is not treated.	The physical and mental effects of anorexia can be long-lasting if the disorder is not treated.
76.0	an ##ore ##xia can cause significant stress and emotional turmoil for individuals and their families .	an ##ore ##xia can cause significant stress and emotional turmoil for individuals and their families .	Anorexia can cause significant stress and emotional turmoil for individuals and their families.	Anorexia can cause significant stress and emotional turmoil for individuals and their families.
77.0	people with an ##ore ##xia may benefit from mind ##fulness and stress - management techniques .	people with an ##ore ##xia may benefit from mind ##fulness and stress - management techniques .	People with anorexia may benefit from mindfulness and stress-management techniques.	People with anorexia may benefit from mindfulness and stress-management techniques.
78.0	early intervention is important for preventing the most severe consequences of an ##ore ##xia .	early intervention is important for preventing the most severe consequences of an ##ore ##xia .	Early intervention is important for preventing the most severe consequences of anorexia.	Early intervention is important for preventing the most severe consequences of anorexia.
79.0	an ##ore ##xia can be treated with a combination of therapy , medication , and lifestyle changes .	an ##ore ##xia can be treated with a combination of therapy , medication , and lifestyle changes .	Anorexia can be treated with a combination of therapy, medication, and lifestyle changes.	Anorexia can be treated with a combination of therapy, medication, and lifestyle changes.
80.0	family and friends can play a critical role in supporting individuals with an ##ore ##xia , but it is important to seek professional help .	family and friends can play a critical role in supporting individuals with an ##ore ##xia , but it is important to seek professional help .	Family and friends can play a critical role in supporting individuals with anorexia, but it is important to seek professional help.	Family and friends can play a critical role in supporting individuals with anorexia, but it is important to seek professional help.
81.0	people with an ##ore ##xia may struggle with food	people with an ##ore ##xia may struggle with food	People with anorexia may struggle with food	People with anorexia may struggle with food
82.0	mani ##c depression , also known as bipolar disorder , is a mental health condition .	mani ##c depression , also known as bipolar disorder , is a mental health condition .	Manic depression, also known as bipolar disorder, is a mental health condition.	Manic depression, also known as bipolar disorder, is a mental health condition.
83.0	people with mani ##c depression experience extreme mood swings between mania and depression .	people with mani ##c depression experience extreme mood swings between mania and depression .	People with manic depression experience extreme mood swings between mania and depression.	People with manic depression experience extreme mood swings between mania and depression.
84.0	the symptoms of mani ##c depression can affect a person ' s daily life .	the symptoms of mani ##c depression can affect a person ' s daily life .	The symptoms of manic depression can affect a person's daily life.	The symptoms of manic depression can affect a person's daily life.
85.0	mani ##c depression can cause disruption ##s in relationships , work , and other areas of life .	mani ##c depression can cause disruption ##s in relationships , work , and other areas of life .	Manic depression can cause disruptions in relationships, work, and other areas of life.	Manic depression can cause disruptions in relationships, work, and other areas of life.
86.0	mani ##c episodes in mani ##c depression can cause imp ##ulsive behavior and reckless decision - making .	mani ##c episodes in mani ##c depression can cause imp ##ulsive behavior and reckless decision - making .	Manic episodes in manic depression can cause impulsive behavior and reckless decision-making.	Manic episodes in manic depression can cause impulsive behavior and reckless decision-making.
87.0	depression episodes in mani ##c depression can cause feelings of sadness , hopeless ##ness , and fatigue .	depression episodes in mani ##c depression can cause feelings of sadness , hopeless ##ness , and fatigue .	Depression episodes in manic depression can cause feelings of sadness, hopelessness, and fatigue.	Depression episodes in manic depression can cause feelings of sadness, hopelessness, and fatigue.
88.0	mani ##c depression can result in sleep disturbances , changes in appetite , and difficulty concentrating .	mani ##c depression can result in sleep disturbances , changes in appetite , and difficulty concentrating .	Manic depression can result in sleep disturbances, changes in appetite, and difficulty concentrating.	Manic depression can result in sleep disturbances, changes in appetite, and difficulty concentrating.
89.0	the causes of mani ##c depression are not fully understood but may involve a combination of genetic , environmental , and lifestyle factors .	the causes of mani ##c depression are not fully understood but may involve a combination of genetic , environmental , and lifestyle factors .	The causes of manic depression are not fully understood but may involve a combination of genetic, environmental, and lifestyle factors.	The causes of manic depression are not fully understood but may involve a combination of genetic, environmental, and lifestyle factors.
90.0	mani ##c depression is a treat ##able condition , but it may require ongoing management .	mani ##c depression is a treat ##able condition , but it may require ongoing management .	Manic depression is a treatable condition, but it may require ongoing management.	Manic depression is a treatable condition, but it may require ongoing management.
91.0	people with mani ##c depression may benefit from therapy , medication , or a combination of both .	people with mani ##c depression may benefit from therapy , medication , or a combination of both .	People with manic depression may benefit from therapy, medication, or a combination of both.	People with manic depression may benefit from therapy, medication, or a combination of both.
92.0	the severity and frequency of mani ##c depression symptoms can vary from person to person .	the severity and frequency of mani ##c depression symptoms can vary from person to person .	The severity and frequency of manic depression symptoms can vary from person to person.	The severity and frequency of manic depression symptoms can vary from person to person.
93.0	mani ##c depression can be difficult to dia ##gno ##se due to its wide range of symptoms and presentation .	mani ##c depression can be difficult to dia ##gno ##se due to its wide range of symptoms and presentation .	Manic depression can be difficult to diagnose due to its wide range of symptoms and presentation.	Manic depression can be difficult to diagnose due to its wide range of symptoms and presentation.
94.0	people with mani ##c depression may struggle to maintain stability in their daily lives .	people with mani ##c depression may struggle to maintain stability in their daily lives .	People with manic depression may struggle to maintain stability in their daily lives.	People with manic depression may struggle to maintain stability in their daily lives.
95.0	mani ##c depression can impact a person ' s ability to perform daily activities and responsibilities .	mani ##c depression can impact a person ' s ability to perform daily activities and responsibilities .	Manic depression can impact a person's ability to perform daily activities and responsibilities.	Manic depression can impact a person's ability to perform daily activities and responsibilities.
96.0	the mani ##c episodes in mani ##c depression can cause increased energy and decreased need for sleep .	the mani ##c episodes in mani ##c depression can cause increased energy and decreased need for sleep .	The manic episodes in manic depression can cause increased energy and decreased need for sleep.	The manic episodes in manic depression can cause increased energy and decreased need for sleep.
97.0	depression episodes in mani ##c depression can result in a loss of interest in activities and decreased energy levels .	depression episodes in mani ##c depression can result in a loss of interest in activities and decreased energy levels .	Depression episodes in manic depression can result in a loss of interest in activities and decreased energy levels.	Depression episodes in manic depression can result in a loss of interest in activities and decreased energy levels.
98.0	people with mani ##c depression may benefit from support from friends , family , and mental health professionals .	people with mani ##c depression may benefit from support from friends , family , and mental health professionals .	People with manic depression may benefit from support from friends, family, and mental health professionals.	People with manic depression may benefit from support from friends, family, and mental health professionals.
99.0	mani ##c depression can lead to feelings of hopeless ##ness and thoughts of suicide .	mani ##c depression can lead to feelings of hopeless ##ness and thoughts of suicide .	Manic depression can lead to feelings of hopelessness and thoughts of suicide.	Manic depression can lead to feelings of hopelessness and thoughts of suicide.
100.0	the treatment for mani ##c depression should be tailored to the individual ' s needs and symptoms .	the treatment for mani ##c depression should be tailored to the individual ' s needs and symptoms .	The treatment for manic depression should be tailored to the individual's needs and symptoms.	The treatment for manic depression should be tailored to the individual's needs and symptoms.
101.0	mani ##c depression can affect a person ' s relationships , self - esteem , and overall well - being .	mani ##c depression can affect a person ' s relationships , self - esteem , and overall well - being .	Manic depression can affect a person's relationships, self-esteem, and overall well-being.	Manic depression can affect a person's relationships, self-esteem, and overall well-being.
102.0	the symptoms of mani ##c depression can impact a person ' s mental and physical health .	the symptoms of mani ##c depression can impact a person ' s mental and physical health .	The symptoms of manic depression can impact a person's mental and physical health.	The symptoms of manic depression can impact a person's mental and physical health.
103.0	people with mani ##c depression may experience disruption ##s in sleep patterns and eating habits .	people with mani ##c depression may experience disruption ##s in sleep patterns and eating habits .	People with manic depression may experience disruptions in sleep patterns and eating habits.	People with manic depression may experience disruptions in sleep patterns and eating habits.
104.0	the onset of mani ##c depression can occur at any age , but it often begins in late adolescence or early adulthood .	the onset of mani ##c depression can occur at any age , but it often begins in late adolescence or early adulthood .	The onset of manic depression can occur at any age, but it often begins in late adolescence or early adulthood.	The onset of manic depression can occur at any age, but it often begins in late adolescence or early adulthood.
105.0	the course of mani ##c depression can be unpredictable , and its symptoms can change over time .	the course of mani ##c depression can be unpredictable , and its symptoms can change over time .	The course of manic depression can be unpredictable, and its symptoms can change over time.	The course of manic depression can be unpredictable, and its symptoms can change over time.
106.0	the effects of mani ##c depression on a person ' s life can be reduced with proper treatment and management .	the effects of mani ##c depression on a person ' s life can be reduced with proper treatment and management .	The effects of manic depression on a person's life can be reduced with proper treatment and management.	The effects of manic depression on a person's life can be reduced with proper treatment and management.
107.0	mani ##c depression can affect a person ' s ability to function in school , work , and other settings .	mani ##c depression can affect a person ' s ability to function in school , work , and other settings .	Manic depression can affect a person's ability to function in school, work, and other settings.	Manic depression can affect a person's ability to function in school, work, and other settings.
108.0	people with mani ##c depression may benefit from a healthy lifestyle , including exercise and a balanced diet .	people with mani ##c depression may benefit from a healthy lifestyle , including exercise and a balanced diet .	People with manic depression may benefit from a healthy lifestyle, including exercise and a balanced diet.	People with manic depression may benefit from a healthy lifestyle, including exercise and a balanced diet.
109.0	the stigma surrounding mani ##c depression can make it difficult for people to seek help and support .	the stigma surrounding mani ##c depression can make it difficult for people to seek help and support .	The stigma surrounding manic depression can make it difficult for people to seek help and support.	The stigma surrounding manic depression can make it difficult for people to seek help and support.
110.0	mani ##c depression can lead to decreased quality of life and decreased life expect ##ancy if left un ##tre ##ated .	mani ##c depression can lead to decreased quality of life and decreased life expect ##ancy if left un ##tre ##ated .	Manic depression can lead to decreased quality of life and decreased life expectancy if left untreated.	Manic depression can lead to decreased quality of life and decreased life expectancy if left untreated.
111.0	people with mani ##c depression may experience fluctuations in their moods , thoughts , and behaviors .	people with mani ##c depression may experience fluctuations in their moods , thoughts , and behaviors .	People with manic depression may experience fluctuations in their moods, thoughts, and behaviors.	People with manic depression may experience fluctuations in their moods, thoughts, and behaviors.
112.0	mani ##c depression can result in decreased motivation and decreased interest in ho ##bbies and activities .	mani ##c depression can result in decreased motivation and decreased interest in ho ##bbies and activities .	Manic depression can result in decreased motivation and decreased interest in hobbies and activities.	Manic depression can result in decreased motivation and decreased interest in hobbies and activities.
