index	Tokenized Problem Sentence	Tokenized Fixed Sentence	Problem Sentence	Fixed Sentence
3460.0	the ne ##uro ##tic writer ' s stories were always filled with characters struggling with their mental health .	the irrational writer ' s stories were always filled with characters struggling with their mental health	The neurotic writer's stories were always filled with characters struggling with their mental health.	The irrational writer's stories were always filled with characters struggling with their mental health
3035.0	the athletes were mad with fear as they prepared for the big competition .	the athletes were full of as they prepared for the big competition	The athletes were mad with fear as they prepared for the big competition.	The athletes were full of as they prepared for the big competition
2267.0	the emotionally disturbed person ' s support system helped them to achieve stability and improve their overall well - being .	the person experiencing a behavioral disorder ' s support system helped them to achieve stability and improve their overall well - being	The emotionally disturbed person's support system helped them to achieve stability and improve their overall well-being.	The person experiencing a behavioral disorder's support system helped them to achieve stability and improve their overall well-being
214.0	anxiety is a normal response to stress , but can become a problem when it interfere ##s with daily life .	anxiety is a normal response to stress , but can become a problem when it interfere ##s with daily life .	Anxiety is a normal response to stress, but can become a problem when it interferes with daily life.	Anxiety is a normal response to stress, but can become a problem when it interferes with daily life.
3163.0	the mani ##c de ##pressive person in my family is always so unstable .	the person with bipolar disorder in my family is always so unstable	The manic depressive person in my family is always so unstable.	The person with bipolar disorder in my family is always so unstable
4770.0	a pass ##er ##by captured the un ##hing ##ed driver ' s reckless behavior on camera .	a pass ##er ##by captured the un ##balance ##d driver ' s reckless behavior on camera	A passerby captured the unhinged driver's reckless behavior on camera.	A passerby captured the unbalanced driver's reckless behavior on camera
693.0	early diagnosis and treatment are important for individuals with schizophrenia , as it can greatly improve outcomes and reduce the severity of symptoms .	early diagnosis and treatment are important for individuals with schizophrenia , as it can greatly improve outcomes and reduce the severity of symptoms .	Early diagnosis and treatment are important for individuals with schizophrenia, as it can greatly improve outcomes and reduce the severity of symptoms.	Early diagnosis and treatment are important for individuals with schizophrenia, as it can greatly improve outcomes and reduce the severity of symptoms.
1600.0	he is del ##usion ##al if he thinks he can tel ##ep ##ort .	he is dec ##ei ##ving himself if he thinks he can tel ##ep ##ort	He is delusional if he thinks he can teleport.	He is deceiving himself if he thinks he can teleport
3869.0	the driver overdose ##d on speed and had an accident .	the driver over ##loaded on speed and had an accident	The driver overdosed on speed and had an accident.	The driver overloaded on speed and had an accident
1973.0	the disturbed patient ' s treatment included therapy and medication .	the un ##sett ##led patient ' s treatment included therapy and medication	The disturbed patient's treatment included therapy and medication.	The unsettled patient's treatment included therapy and medication
3758.0	the teacher ' s o ##cd for planning helped to create a structured and effective curriculum for his students .	the teacher ' s particular for planning helped to create a structured and effective curriculum for his students	The teacher's OCD for planning helped to create a structured and effective curriculum for his students.	The teacher's particular for planning helped to create a structured and effective curriculum for his students
1598.0	the notion that there is only one right way to live is del ##usion ##al .	the notion that there is only one right way to live is off - target	The notion that there is only one right way to live is delusional.	The notion that there is only one right way to live is off-target
2167.0	the way she always puts her work before our relationship drives me crazy .	the way she always puts her work before our relationship ann ##oys me to distraction	The way she always puts her work before our relationship drives me crazy.	The way she always puts her work before our relationship annoys me to distraction
4254.0	the engineer suggested a sanity check on the system before we proceed with the launch .	the engineer suggested a confidence check on the system before we proceed with the launch	The engineer suggested a sanity check on the system before we proceed with the launch.	The engineer suggested a confidence check on the system before we proceed with the launch
196.0	o ##cd can be a lonely experience , but it is important to reach out to loved ones , friends , and mental health professionals for support .	o ##cd can be a lonely experience , but it is important to reach out to loved ones , friends , and mental health professionals for support .	OCD can be a lonely experience, but it is important to reach out to loved ones, friends, and mental health professionals for support.	OCD can be a lonely experience, but it is important to reach out to loved ones, friends, and mental health professionals for support.
1255.0	the bu ##lim ##ic ' s condition made it difficult for her to control her eating habits .	the person living with an eating disorder ' s condition made it difficult for her to control her eating habits	The bulimic's condition made it difficult for her to control her eating habits.	The person living with an eating disorder's condition made it difficult for her to control her eating habits
4705.0	she took her own life after feeling like she had no one to turn to for help .	she lost to suicide after feeling like she had no one to turn to for help	She took her own life after feeling like she had no one to turn to for help.	She lost to suicide after feeling like she had no one to turn to for help
2195.0	the local authorities was trying to combat the rising number of drug addict ##s in their city .	the local authorities was trying to combat the rising number of person with substance use disorders in their city	The local authorities was trying to combat the rising number of drug addicts in their city.	The local authorities was trying to combat the rising number of person with substance use disorders in their city
1650.0	the belief that ghosts are benevolent is del ##usion ##al .	the belief that ghosts are benevolent is dec ##ei ##ving herself	The belief that ghosts are benevolent is delusional.	The belief that ghosts are benevolent is deceiving herself
1730.0	the way he was talking made it clear that he was becoming more and more dem ##ented .	the way he was talking made it clear that he was becoming more and more irrational	The way he was talking made it clear that he was becoming more and more demented.	The way he was talking made it clear that he was becoming more and more irrational
3282.0	the mentally ill patient was receiving a combination of therapy and medication to manage their symptoms .	the has a mental health challenge patient was receiving a combination of therapy and medication to manage their symptoms	The mentally ill patient was receiving a combination of therapy and medication to manage their symptoms.	The has a mental health challenge patient was receiving a combination of therapy and medication to manage their symptoms
1533.0	she is del ##usion ##al if she believes she can communicate with animals .	she is mis ##guide ##d if she believes she can communicate with animals	She is delusional if she believes she can communicate with animals.	She is misguided if she believes she can communicate with animals
3095.0	i ' m not sure i can trust the mani ##c de ##pressive person on my team , they ' re always so secretive .	i ' m not sure i can trust the person living with bipolar disorder on my team , they ' re always so secretive	I'm not sure I can trust the manic depressive person on my team, they're always so secretive.	I'm not sure I can trust the person living with bipolar disorder on my team, they're always so secretive
68.0	people with an ##ore ##xia may benefit from support groups , peer networks , and other forms of community support .	people with an ##ore ##xia may benefit from support groups , peer networks , and other forms of community support .	People with anorexia may benefit from support groups, peer networks, and other forms of community support.	People with anorexia may benefit from support groups, peer networks, and other forms of community support.
568.0	schizophrenia can be a challenging and iso ##lating condition , and connecting with others who understand can be in ##val ##ua ##ble .	schizophrenia can be a challenging and iso ##lating condition , and connecting with others who understand can be in ##val ##ua ##ble .	Schizophrenia can be a challenging and isolating condition, and connecting with others who understand can be invaluable.	Schizophrenia can be a challenging and isolating condition, and connecting with others who understand can be invaluable.
1482.0	the belief that vaccines are harmful is del ##usion ##al .	the belief that vaccines are harmful is dec ##ei ##ving herself	The belief that vaccines are harmful is delusional.	The belief that vaccines are harmful is deceiving herself
96.0	the mani ##c episodes in mani ##c depression can cause increased energy and decreased need for sleep .	the mani ##c episodes in mani ##c depression can cause increased energy and decreased need for sleep .	The manic episodes in manic depression can cause increased energy and decreased need for sleep.	The manic episodes in manic depression can cause increased energy and decreased need for sleep.
1281.0	a coke ##head may struggle with maintaining stable relationships and employment .	a person with a cocaine use disorder may struggle with maintaining stable relationships and employment	A cokehead may struggle with maintaining stable relationships and employment.	A person with a cocaine use disorder may struggle with maintaining stable relationships and employment
139.0	there is a wide range of services and resources available for individuals with intellectual disability , including special education programs and vocational training .	there is a wide range of services and resources available for individuals with intellectual disability , including special education programs and vocational training .	There is a wide range of services and resources available for individuals with intellectual disability, including special education programs and vocational training.	There is a wide range of services and resources available for individuals with intellectual disability, including special education programs and vocational training.
2841.0	i must be lo ##ony to even consider taking on this project .	i must be wild to even consider taking on this project	I must be loony to even consider taking on this project.	I must be wild to even consider taking on this project
3102.0	i ' m not sure how to approach the mani ##c de ##pressive person at work , they ' re always so distant .	i ' m not sure how to approach the person experiencing bipolar disorder at work , they ' re always so distant	I'm not sure how to approach the manic depressive person at work, they're always so distant.	I'm not sure how to approach the person experiencing bipolar disorder at work, they're always so distant
1222.0	he was worried about the bu ##lim ##ic ' s health and didn ' t know how to help her .	he was worried about the person living with an eating disorder ' s health and didn ' t know how to help her	He was worried about the bulimic's health and didn't know how to help her.	He was worried about the person living with an eating disorder's health and didn't know how to help her
2407.0	he went bon ##kers over the new video game release .	he come undone over the new video game release	He went bonkers over the new video game release.	He come undone over the new video game release
1187.0	the bu ##lim ##ic felt ashamed and embarrassed about her disorder and kept it a secret from her family .	the person with bu ##lim ##ia felt ashamed and embarrassed about her disorder and kept it a secret from her family	The bulimic felt ashamed and embarrassed about her disorder and kept it a secret from her family.	The person with bulimia felt ashamed and embarrassed about her disorder and kept it a secret from her family
2822.0	she killed herself after feeling like she had lost her identity .	she lost to suicide after feeling like she had lost her identity	She killed herself after feeling like she had lost her identity.	She lost to suicide after feeling like she had lost her identity
4375.0	the artist ' s work had an sc ##hi ##zo style , making it hard to understand .	the artist ' s work had an unreliable style , making it hard to understand	The artist's work had an schizo style, making it hard to understand.	The artist's work had an unreliable style, making it hard to understand
463.0	symptoms of mental illness can vary greatly and can include changes in mood , thoughts , behavior , and ability to function in daily life .	symptoms of mental illness can vary greatly and can include changes in mood , thoughts , behavior , and ability to function in daily life .	Symptoms of mental illness can vary greatly and can include changes in mood, thoughts, behavior, and ability to function in daily life.	Symptoms of mental illness can vary greatly and can include changes in mood, thoughts, behavior, and ability to function in daily life.
4352.0	i like to do a sanity check on my sky ##di ##ving equipment before jumping .	i like to do a fact check on my sky ##di ##ving equipment before jumping	I like to do a sanity check on my skydiving equipment before jumping.	I like to do a  fact check on my skydiving equipment before jumping
1117.0	she thought the new technology was bon ##kers .	she thought the new technology was wild	She thought the new technology was bonkers.	She thought the new technology was wild
1788.0	the way she was be ##ha ##ving was so dem ##ented , it was clear she needed help .	the way she was be ##ha ##ving was so outrageous , it was clear she needed help	The way she was behaving was so demented, it was clear she needed help.	The way she was behaving was so outrageous, it was clear she needed help
594.0	efforts should be made to educate individuals about the risk factors for suicide and how to seek help .	efforts should be made to educate individuals about the risk factors for suicide and how to seek help .	Efforts should be made to educate individuals about the risk factors for suicide and how to seek help.	Efforts should be made to educate individuals about the risk factors for suicide and how to seek help.
4251.0	i like to do a sanity check on my work before submit ##ting it to my boss .	i like to do a confidence check on my work before submit ##ting it to my boss	I like to do a sanity check on my work before submitting it to my boss.	I like to do a confidence check on my work before submitting it to my boss
625.0	eating disorders can be life - threatening , and emergency intervention may be necessary in severe cases .	eating disorders can be life - threatening , and emergency intervention may be necessary in severe cases .	Eating disorders can be life-threatening, and emergency intervention may be necessary in severe cases.	Eating disorders can be life-threatening, and emergency intervention may be necessary in severe cases.
450.0	mental illness can lead to significant reductions in an individual ' s ability to participate in daily activities and to achieve personal goals .	mental illness can lead to significant reductions in an individual ' s ability to participate in daily activities and to achieve personal goals .	Mental illness can lead to significant reductions in an individual's ability to participate in daily activities and to achieve personal goals.	Mental illness can lead to significant reductions in an individual's ability to participate in daily activities and to achieve personal goals.
2348.0	she was an ex - addict , but still struggled with the mental and emotional toll of her addiction .	she was an person who previously used drugs , but still struggled with the mental and emotional toll of her addiction	She was an ex-addict, but still struggled with the mental and emotional toll of her addiction.	She was an person who previously used drugs, but still struggled with the mental and emotional toll of her addiction
1844.0	the individual who is depressed may have difficulty maintaining relationships and social connections due to their condition .	the individual who is experiencing depression may have difficulty maintaining relationships and social connections due to their condition	The individual who is depressed may have difficulty maintaining relationships and social connections due to their condition.	The individual who is experiencing depression may have difficulty maintaining relationships and social connections due to their condition
2457.0	the patient ' s constant obsession with clean ##liness and order earned him the label of being crazy .	the patient ' s constant obsession with clean ##liness and order earned him the label of experiencing mental health challenges	The patient's constant obsession with cleanliness and order earned him the label of being crazy.	The patient's constant obsession with cleanliness and order earned him the label of experiencing mental health challenges
859.0	the family was deeply affected by the mother ' s af ##flict ##ion with depression .	the family was deeply affected by the mother ' s experiencing depression	The family was deeply affected by the mother's affliction with depression.	The family was deeply affected by the mother's experiencing depression
1374.0	he ' s always talking about conspiracy theories , it ' s getting a little crazy .	he ' s always talking about conspiracy theories , it ' s getting a little irrational	He's always talking about conspiracy theories, it's getting a little crazy.	He's always talking about conspiracy theories, it's getting a little irrational
3441.0	his ne ##uro ##tic behavior is causing problems in our relationship .	his anxious behavior is causing problems in our relationship	His neurotic behavior is causing problems in our relationship.	His anxious behavior is causing problems in our relationship
1846.0	people who are depressed may experience changes in their appetite and weight as a sy ##mpt ##om of their condition .	people who are experiencing depression may experience changes in their appetite and weight as a sy ##mpt ##om of their condition	People who are depressed may experience changes in their appetite and weight as a symptom of their condition.	People who are experiencing depression may experience changes in their appetite and weight as a symptom of their condition
150.0	people with intellectual disability should have access to quality healthcare , education , and support services to meet their needs .	people with intellectual disability should have access to quality healthcare , education , and support services to meet their needs .	People with intellectual disability should have access to quality healthcare, education, and support services to meet their needs.	People with intellectual disability should have access to quality healthcare, education, and support services to meet their needs.
4634.0	the police discovered illegal drugs in the possession of the substance abuse ##r during a routine traffic stop .	the police discovered illegal drugs in the possession of the individual living with substance use disorder during a routine traffic stop	The police discovered illegal drugs in the possession of the substance abuser during a routine traffic stop.	The police discovered illegal drugs in the possession of the individual living with substance use disorder during a routine traffic stop
831.0	he was af ##flict ##ed with post - part ##um depression after the birth of his child , caused by the condition .	he was experiencing post - part ##um depression after the birth of his child , caused by the condition	He was afflicted with post-partum depression after the birth of his child, caused by the condition.	He was experiencing post-partum depression after the birth of his child, caused by the condition
2554.0	the patient ' s condition was diagnosed as hysterical ne ##uro ##sis .	the patient ' s condition was diagnosed as emotional ne ##uro ##sis	The patient's condition was diagnosed as hysterical neurosis.	The patient's condition was diagnosed as emotional neurosis
4234.0	he had been sober for over a year , but one slip - up led her to a full - blown re ##la ##pse and he fell back into his old habits .	he had been sober for over a year , but one slip - up led her to a full - blown resume substance use and he fell back into his old habits	He had been sober for over a year, but one slip-up led her to a full-blown relapse and he fell back into his old habits.	He had been sober for over a year, but one slip-up led her to a full-blown resume substance use and he fell back into his old habits
1859.0	the state of the economy is de ##pressing and many people are struggling to make ends meet .	the state of the economy is bleak and many people are struggling to make ends meet	The state of the economy is depressing and many people are struggling to make ends meet.	The state of the economy is bleak and many people are struggling to make ends meet
457.0	mental illness can be a lifelong condition , and individuals may require ongoing support and treatment to manage their symptoms .	mental illness can be a lifelong condition , and individuals may require ongoing support and treatment to manage their symptoms .	Mental illness can be a lifelong condition, and individuals may require ongoing support and treatment to manage their symptoms.	Mental illness can be a lifelong condition, and individuals may require ongoing support and treatment to manage their symptoms.
3382.0	the mentally re ##tar ##ded person was able to improve their daily functioning with the help of assist ##ive technology and specialized resources .	the intellectual ##ly disabled person was able to improve their daily functioning with the help of assist ##ive technology and specialized resources	The mentally retarded person was able to improve their daily functioning with the help of assistive technology and specialized resources.	The intellectually disabled person was able to improve their daily functioning with the help of assistive technology and specialized resources
3375.0	the mentally re ##tar ##ded person was able to find a sense of purpose and meaning in their life through participating in specialized programs and activities .	the developmental ##ly disabled person was able to find a sense of purpose and meaning in their life through participating in specialized programs and activities	The mentally retarded person was able to find a sense of purpose and meaning in their life through participating in specialized programs and activities.	The developmentally disabled person was able to find a sense of purpose and meaning in their life through participating in specialized programs and activities
3064.0	it ' s not fair to stereo ##type a madman as violent or dangerous , that ' s just ignorant .	it ' s not fair to stereo ##type a someone with a mental health condition as violent or dangerous , that ' s just ignorant	It's not fair to stereotype a madman as violent or dangerous, that's just ignorant.	It's not fair to stereotype a someone with a mental health condition as violent or dangerous, that's just ignorant
4729.0	she was a trauma victim who had to learn how to live with the trauma of being in a car accident .	she was a trauma survivor who had to learn how to live with the trauma of being in a car accident	She was a trauma victim who had to learn how to live with the trauma of being in a car accident.	She was a trauma survivor who had to learn how to live with the trauma of being in a car accident
4769.0	a pass ##er ##by captured the un ##hing ##ed driver ' s reckless behavior on camera .	a pass ##er ##by captured the erratic driver ' s reckless behavior on camera	A passerby captured the unhinged driver's reckless behavior on camera.	A passerby captured the erratic driver's reckless behavior on camera
239.0	people with anxiety may find relief through exposure therapy , which involves gradually facing their fears and reducing their anxiety .	people with anxiety may find relief through exposure therapy , which involves gradually facing their fears and reducing their anxiety .	People with anxiety may find relief through exposure therapy, which involves gradually facing their fears and reducing their anxiety.	People with anxiety may find relief through exposure therapy, which involves gradually facing their fears and reducing their anxiety.
4545.0	"the concept of a split personality has been widely disc ##red ##ited in modern psychology , with most experts now preferring the term "" di ##sso ##cia ##tive identity disorder "" ."	"the concept of a person living with di ##sso ##cia ##tive identity disorder has been widely disc ##red ##ited in modern psychology , with most experts now preferring the term "" di ##sso ##cia ##tive identity disorder """	"The concept of a split personality has been widely discredited in modern psychology, with most experts now preferring the term ""dissociative identity disorder""."	"The concept of a person living with dissociative identity disorder has been widely discredited in modern psychology, with most experts now preferring the term ""dissociative identity disorder"""
2002.0	the disturbed patient ' s condition was severe and required constant monitoring .	the distraught patient ' s condition was severe and required constant monitoring	The disturbed patient's condition was severe and required constant monitoring.	The distraught patient's condition was severe and required constant monitoring
2266.0	the emotionally disturbed person ' s support system helped them to achieve stability and improve their overall well - being .	the person experiencing an emotional disorder ' s support system helped them to achieve stability and improve their overall well - being	The emotionally disturbed person's support system helped them to achieve stability and improve their overall well-being.	The person experiencing an emotional disorder's support system helped them to achieve stability and improve their overall well-being
2952.0	that ' s the most lo ##ony thing i ' ve ever heard .	that ' s the most outrageous thing i ' ve ever heard	That's the most loony thing I've ever heard.	That's the most outrageous thing I've ever heard
4812.0	the un ##hing ##ed musician ' s stage presence was seen as unpredictable and dangerous by some .	the un ##balance ##d musician ' s stage presence was seen as unpredictable and dangerous by some	The unhinged musician's stage presence was seen as unpredictable and dangerous by some.	The unbalanced musician's stage presence was seen as unpredictable and dangerous by some
192.0	people with o ##cd may experience feelings of shame or embarrassment about their condition , making it difficult to seek help .	people with o ##cd may experience feelings of shame or embarrassment about their condition , making it difficult to seek help .	People with OCD may experience feelings of shame or embarrassment about their condition, making it difficult to seek help.	People with OCD may experience feelings of shame or embarrassment about their condition, making it difficult to seek help.
3548.0	it ' s not easy being friends with someone as ne ##uro ##tic as her .	it ' s not easy being friends with someone as jump ##y as her	It's not easy being friends with someone as neurotic as her.	It's not easy being friends with someone as jumpy as her
3642.0	the patient ' s non - verbal cues of over - excitement and imp ##uls ##ivity were characteristic of their ad ##hd .	the patient ' s non - speaking cues of over - excitement and imp ##uls ##ivity were characteristic of their ad ##hd	The patient's non-verbal cues of over-excitement and impulsivity were characteristic of their ADHD.	The patient's non-speaking cues of over-excitement and impulsivity were characteristic of their ADHD
2025.0	the disturbed individual ' s mental state was fragile and required careful management .	the troubled individual ' s mental state was fragile and required careful management	The disturbed individual's mental state was fragile and required careful management.	The troubled individual's mental state was fragile and required careful management
1812.0	the way she was be ##ha ##ving was so dem ##ented , it was clear she needed professional help .	the way she was be ##ha ##ving was so outrageous , it was clear she needed professional help	The way she was behaving was so demented, it was clear she needed professional help.	The way she was behaving was so outrageous, it was clear she needed professional help
3176.0	the mani ##c de ##pressive person in my neighborhood is always so unstable .	the person living with bipolar disorder in my neighborhood is always so unstable	The manic depressive person in my neighborhood is always so unstable.	The person living with bipolar disorder in my neighborhood is always so unstable
1744.0	the clown ' s antics were so dem ##ented , it was hard to tell if he was joking or serious .	the clown ' s antics were so outrageous , it was hard to tell if he was joking or serious	The clown's antics were so demented, it was hard to tell if he was joking or serious.	The clown's antics were so outrageous, it was hard to tell if he was joking or serious
4137.0	her behavior at the party was psychotic and she was asked to leave .	her behavior at the party was non ##sen ##sic ##al and she was asked to leave	Her behavior at the party was psychotic and she was asked to leave.	Her behavior at the party was nonsensical and she was asked to leave
4588.0	despite receiving treatment , he is still struggling with symptoms of post - traumatic stress disorder .	despite receiving treatment , he is still experiencing ##sy ##mpt ##oms of post - traumatic stress disorder	Despite receiving treatment, he is still struggling with symptoms of post-traumatic stress disorder.	Despite receiving treatment, he is still experiencingsymptoms of post-traumatic stress disorder
800.0	the family was deeply affected by the son ' s af ##flict ##ion with schizophrenia .	the family was deeply affected by the son ' s living with schizophrenia	The family was deeply affected by the son's affliction with schizophrenia.	The family was deeply affected by the son's living with schizophrenia
2980.0	the crowd was mad with fear as the storm approached .	the crowd was un ##rea ##son ##ably full of as the storm approached	The crowd was mad with fear as the storm approached.	The crowd was unreasonably full of as the storm approached
4051.0	she is paranoid about her food being poisoned and only eats at rep ##utable restaurants .	she is is fearful about her food being poisoned and only eats at rep ##utable restaurants	She is paranoid about her food being poisoned and only eats at reputable restaurants.	She is is fearful about her food being poisoned and only eats at reputable restaurants
1231.0	the bu ##lim ##ic ' s condition affected her self - esteem as she was constantly comparing herself to others .	the person living with an eating disorder ' s condition affected her self - esteem as she was constantly comparing herself to others	The bulimic's condition affected her self-esteem as she was constantly comparing herself to others.	The person living with an eating disorder's condition affected her self-esteem as she was constantly comparing herself to others
2792.0	it ' s not cool to make jokes about junk ##ies , that ' s just messed up .	it ' s not cool to make jokes about person in active use of substances ##s , that ' s just messed up	It's not cool to make jokes about junkies, that's just messed up.	It's not cool to make jokes about person in active use of substancess, that's just messed up
2543.0	the child ' s laughter was con ##tag ##ious and quickly turned into a room full of hysterical giggles .	the child ' s laughter was con ##tag ##ious and quickly turned into a room full of agitated giggles	The child's laughter was contagious and quickly turned into a room full of hysterical giggles.	The child's laughter was contagious and quickly turned into a room full of agitated giggles
1536.0	the idea that the government is hiding the truth about ufo ##s is del ##usion ##al .	the idea that the government is hiding the truth about ufo ##s is mistaken	The idea that the government is hiding the truth about UFOs is delusional.	The idea that the government is hiding the truth about UFOs is mistaken
4707.0	he took his own life after feeling like he had no control over his life .	he lost to suicide after feeling like he had no control over his life	He took his own life after feeling like he had no control over his life.	He lost to suicide after feeling like he had no control over his life
4109.0	his argument made no sense and was psychotic .	his argument made no sense and was un ##balance ##d	His argument made no sense and was psychotic.	His argument made no sense and was unbalanced
3558.0	the ne ##uro ##tic philosopher ' s ideas were always focused on the mind and its complex ##ities .	the jump ##y philosopher ' s ideas were always focused on the mind and its complex ##ities	The neurotic philosopher's ideas were always focused on the mind and its complexities.	The jumpy philosopher's ideas were always focused on the mind and its complexities
99.0	mani ##c depression can lead to feelings of hopeless ##ness and thoughts of suicide .	mani ##c depression can lead to feelings of hopeless ##ness and thoughts of suicide .	Manic depression can lead to feelings of hopelessness and thoughts of suicide.	Manic depression can lead to feelings of hopelessness and thoughts of suicide.
1095.0	the amusement park was bon ##kers and had something for everyone .	the amusement park was ridiculous and had something for everyone	The amusement park was bonkers and had something for everyone.	The amusement park was ridiculous and had something for everyone
3961.0	i am paranoid about my privacy and never post personal information online .	i am is fearful about my privacy and never post personal information online	I am paranoid about my privacy and never post personal information online.	I am is fearful about my privacy and never post personal information online
4771.0	the un ##hing ##ed employee ' s actions caused problems for the company .	the erratic employee ' s actions caused problems for the company	The unhinged employee's actions caused problems for the company.	The erratic employee's actions caused problems for the company
191.0	the obsession ##s and compulsion ##s of o ##cd can be specific to each person and may include repetitive thoughts or behaviors related to clean ##liness , order , or safety .	the obsession ##s and compulsion ##s of o ##cd can be specific to each person and may include repetitive thoughts or behaviors related to clean ##liness , order , or safety .	The obsessions and compulsions of OCD can be specific to each person and may include repetitive thoughts or behaviors related to cleanliness, order, or safety.	The obsessions and compulsions of OCD can be specific to each person and may include repetitive thoughts or behaviors related to cleanliness, order, or safety.
4480.0	the community outreach program provided resources and support for the sc ##hi ##zo ##ph ##ren ##ic and their family .	the community outreach program provided resources and support for the person experiencing schizophrenia and their family	The community outreach program provided resources and support for the schizophrenic and their family.	The community outreach program provided resources and support for the person experiencing schizophrenia and their family
3844.0	the chef overdose ##d on salt and needed to cut back .	the chef bing ##ed on salt and needed to cut back	The chef overdosed on salt and needed to cut back.	The chef binged on salt and needed to cut back
1609.0	the belief that there is a secret society controlling the world is del ##usion ##al .	the belief that there is a secret society controlling the world is wrong	The belief that there is a secret society controlling the world is delusional.	The belief that there is a secret society controlling the world is wrong
